Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Event Name,Country,ISO,Region,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured
2012-0060-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Alabama, Tennessee, Illinois, Kentucky, Indiana, Ohio, Georgia, Florida, Mississippi, North Carolina, Virginia provinces",2012,3,2,2012,3,4,41,
2012-0406-PHL,2012,Natural,Meteorological,Storm,Typhoon Son Tinh (Ofel),Philippines (the),PHL,South-Eastern Asia,"National Capital region (NCR), Region I (Ilocos region), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region XIII (Caraga) province",2012,10,25,2012,10,25,36,19
2012-0540-PHL,2012,Natural,Meteorological,Storm,Tropical storm Wukong (Quinta),Philippines (the),PHL,South-Eastern Asia,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",2012,12,25,2012,12,27,24,3
2012-0031-PHL,2012,Natural,Geophysical,Earthquake,,Philippines (the),PHL,South-Eastern Asia,"Tayasan area (Negros Oriental district, Region VII (Central Visayas) province)",2012,2,6,2012,2,6,113,112
2012-0260-PHL,2012,Natural,Meteorological,Storm,Tropical storm Gener (Saola),Philippines (the),PHL,South-Eastern Asia,"Ilocos Sur, Pangasinan districts (Region I (Ilocos region) province), Cagayan district (Region II (Cagayan Valley) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac districts (Region III (Central Luzon) province), Batangas, Cavite, Laguna, Rizal district (Region IV-A (Calabarzon) province), Mindoro Occidental district (Region IV (Southern Tagalog) province), Aklan, Antique, Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Lanao del Norte, Misamis Oriental districts (Region X (Northern Mindanao) province), North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Benguet, Ifugao, Kalinga, Mountain Province districts (Cordillera Administrative region (CAR) province), National Capital region (NCR) province",2012,7,31,2012,8,7,58,35
2012-0296-PHL,2012,Natural,Meteorological,Storm,Typhoon Igme (Tembin),Philippines (the),PHL,South-Eastern Asia,La Union district (Region I (Ilocos region) province),2012,8,20,2012,8,21,11,1
2012-0374-PHL,2012,Natural,Meteorological,Storm,Typhoon Lawin (Jelawat),Philippines (the),PHL,South-Eastern Asia,"Muntinlupa city (Metropolitan Manila district, National Capital region (NCR) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province)",2012,9,21,2012,9,24,4,
2012-0124-MEX,2012,Natural,Geophysical,Earthquake,,Mexico,MEX,Central America,"Guerrero, Oaxaca, Mexico provinces",2012,3,20,2012,3,20,2,11
2012-0276-MEX,2012,Natural,Meteorological,Storm,Ernesto,Mexico,MEX,Central America,"Tabasco, Veracruz, Guerrero, Quintana Roo, Puebla, Oaxaca provinces",2012,8,10,2012,8,10,12,
2012-0401-MEX,2012,Natural,Meteorological,Storm,Hurricane Carlotta,Mexico,MEX,Central America,"Puerto Escondido city (Dist. Pochutla district, Oaxaca province)",2012,6,15,2012,6,15,7,
2012-0099-MEX,2012,Technological,Technological,Transport accident,,Mexico,MEX,Central America,Veracruz state,2012,4,20,2012,4,20,43,20
2012-0229-MEX,2012,Technological,Technological,Transport accident,,Mexico,MEX,Central America,Guerrero state,2012,6,24,2012,6,24,28,22
2012-0381-MEX,2012,Technological,Technological,Industrial accident,Gaz factory,Mexico,MEX,Central America,Near Reynosa,2012,9,19,2012,9,19,32,26
2012-0321-PHL,2012,Natural,Geophysical,Earthquake,,Philippines (the),PHL,South-Eastern Asia,"Valencia, Maramag areas (Bukidnon district, Region X (Northern Mindanao) province)",2012,9,4,2012,9,4,,1
2012-0431-PHL,2012,Natural,Geophysical,Earthquake,,Philippines (the),PHL,South-Eastern Asia,"Guian town (Eastern Samar district, Region VIII (Eastern Visayas) province)",2012,8,31,2012,8,31,1,10
2012-0171-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Kalamansig area (Sultan Kudarat district, Region XII province)",2012,6,11,2012,6,11,,
2012-0172-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Glen area (Saranggani district, Region XII province), Maguindanao district (ARMM province), North Cotabato, Sultan Kudarat districts (Region XII province)",2012,6,9,2012,6,12,1,
2012-0009-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Agusan del Sur, Surigao del Sur districts (Region XIII province), Leyte district (Region VIII province), Compostela, Davao del Norte districts (Region XI province), Negros Occidental district (Region VI province), Region IV province",2012,1,17,2012,1,17,4,
2012-0042-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Jabonga area (Agusan del Norte district, Region XIII province), Kauswagan and Bacolod areas (Lanao del Norte district, Region X province)",2012,2,14,2012,2,16,,
2012-0078-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Lambayong area (Sultan Kudarat district, Region XII province), Agusan del Norte, Surigao del Norte districts (Region XIII province)",2012,2,20,2012,2,27,,
2012-0272-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Metropolitan Manila district (National Capital region (NCR) province), Ilocos Sur, La Union, Pangasinan districts (Region I (Ilocos Region) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales districts (Region III (Central Luzon) province), Batangas, Cavite, Laguna, Rizal districts (Region IV-A (Calabarzon) province), Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Iloilo district (Region VI (Western Visayas) province)",2012,8,6,2012,8,8,112,14
2012-0396-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,Region VI (Western Visayas) province,2012,3,27,2012,3,27,11,
2012-0602-PHL,2012,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Region XIII (Caraga), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen) provinces",2012,6,12,2012,6,13,29,2
2012-0002-PHL,2012,Natural,Hydrological,Landslide,,Philippines (the),PHL,South-Eastern Asia,"Napnapan village (Compostela district, Region XI (Davao Region) province)",2012,1,5,2012,1,5,75,16
2012-0294-PHL,2012,Natural,Meteorological,Storm,TYphoon Kai-Tak,Philippines (the),PHL,South-Eastern Asia,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) provinces",2012,8,17,2012,8,17,4,
2012-0434-PHL,2012,Natural,Meteorological,Storm,Typhoon Karen,Philippines (the),PHL,South-Eastern Asia,"National Capital region (NCR), Region III (Central Luzon) provinces",2012,9,13,2012,9,14,1,
2012-0463-PHL,2012,Natural,Meteorological,Storm,Tropical Storm Marce (Gaemi),Philippines (the),PHL,South-Eastern Asia,"Zambales district (Region III (Central Luzon) province), Mindoro Occidental district (Region IV (Southern Tagalog) province)",2012,10,3,2012,10,3,,
2012-0500-PHL,2012,Natural,Meteorological,Storm,Typhoon Bopha,Philippines (the),PHL,South-Eastern Asia,Region XI (Davao Region) province,2012,12,4,2012,12,4,1901,2666
2012-0201-PHL,2012,Natural,Biological,Epidemic,Cholera,Philippines (the),PHL,South-Eastern Asia,"Catanduanes, Camarines Sur, Sorsogon, Albay, Camarines Norte, Masbate provinces (Bicol)",2012,1,,2012,7,,30,
2012-0170-PHL,2012,Technological,Technological,Transport accident,Ferry 'MV Josille',Philippines (the),PHL,South-Eastern Asia,North Palawan Isl.,2012,6,13,2012,6,13,24,
2012-0239-PHL,2012,Technological,Technological,Miscellaneous accident,Shop,Philippines (the),PHL,South-Eastern Asia,Butuan,2012,5,9,2012,5,9,18,3
2012-0347-TCD,2012,Natural,Hydrological,Flood,,Chad,TCD,Middle Africa,"Rig-rig, Sultanat, Ntiona, Nokou districts (Kanem province), Dadjo-ii, Moubi-goz, Moubi-Hadaba, Moubi-zarga districts (Guera province), Ndjamena, Madiago, Katoa, Kadada, El-fass, Afrouk districts (Hadjer Lamis province), Assongha, Baguirmi, Tandjile Est, Tandjile Ouest, Sila, Barh Koh, Mayo-Boneye, Mayo-Dala, Logone Occidental, Logone Oriental, Kabia, Ouaddai, Batha Ouest, Batha Est, Lac Iro, Mandoul, Mont De Lam, Salamat provinces",2012,7,15,2012,9,24,20,
2012-0384-TCD,2012,Natural,Hydrological,Flood,,Chad,TCD,Middle Africa,"Walia, Ngoumna, Ngueli boroughs (Ndjamena district, Hadjer Lamis province), Yaroungou, Moula refugees camps (Maro district, Barh Koh province)",2012,9,15,2012,10,15,,
2012-0108-TCD,2012,Natural,Biological,Epidemic,Meningitis,Chad,TCD,Middle Africa,"Oumhadjer, Massakory, Lere, Amdam, Aboudea, Amtiman, Donamanga, Bebeto, Koumra, Moissala districts",2012,1,,2012,3,25,88,
2012-0234-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,District of Columbia province,2012,6,30,2012,6,30,1,
2012-0612-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Oklahoma, Kansas, Minnesota, Texas, Pennsylvania, New York provinces",2012,5,25,2012,5,30,,
2012-0613-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Colorado, Wyoming provinces",2012,6,6,2012,6,7,,2
2012-0614-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Texas, New Mexico provinces",2012,6,11,2012,6,13,,3
2012-0615-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Ohio, Minnesota, Pennsylvania, Michigan, Wisconsin provinces",2012,7,2,2012,7,4,1,
2012-0616-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Missouri, Pennsylvania, Virginia, Arkansas, Oklahoma, Maryland, New York provinces",2012,9,7,2012,9,9,5,
2012-0010-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Jefferson, Chilton districts (Alabama province)",2012,1,22,2012,1,23,2,100
2012-0055-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Nebraska, Kansas, Missouri, Illinois, Indiana, Kentucky provinces",2012,2,28,2012,2,29,14,200
2012-0122-USA,2012,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Dallas, Tarrant districts (Texas province)",2012,4,2,2012,4,3,,
2013-0335-MEX,2013,Natural,Meteorological,Storm,Tropical storm Fernand,Mexico,MEX,Central America,"Yecuatla, Tuxpan, Atzalan districts (Veracruz province), Oaxaca province",2013,8,25,2013,8,26,14,
2013-0358-MEX,2013,Natural,Meteorological,Storm,Hurricane Manuel,Mexico,MEX,Central America,"Guerrero, Oaxaca, Jalisco, Michoacan, Sinaloa provinces",2013,9,13,2013,9,20,169,
2013-0406-MEX,2013,Natural,Meteorological,Storm,Hurricane Ingrid,Mexico,MEX,Central America,"Veracruz, Hidalgo, Puebla provinces",2013,9,12,2013,9,17,23,
2013-0373-PHL,2013,Natural,Meteorological,Storm,Typhoon Usagi (Odette),Philippines (the),PHL,South-Eastern Asia,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon), Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas) provinces",2013,9,21,2013,9,22,5,
2013-0334-USA,2013,Natural,Meteorological,Storm,,United States of America (the),USA,Northern America,"Colorado, Wyoming, Montana provinces",2013,8,2,2013,8,3,,
2013-0348-MEX,2013,Natural,Hydrological,Flood,,Mexico,MEX,Central America,Veracruz province,2013,9,5,2013,9,8,13,
2013-0019-PHL,2013,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,Region X (Northen Mindanao) province,2013,1,15,2013,1,23,10,
2013-0274-PHL,2013,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Region III (Central Luzon) province (Pampanga district (Lubao, Floridablanca, Minalin areas), Bulacan district (Meycauayan area), Nueva Ecija district (Mariveles, Bataan, Malolos City, Carranglan areas), Zambales district (Olongapo area), Tarlac, Bataan districts), Region IV-A (Calabarzon) province (Rizal district (Teresa, Binangonan areas), Cavite district (Imus, Bacoor, Kawit, Noveleta, Tanza areas), Quezon district (Sariaya area), Laguna district), Region IV province (Mindoro Occidental district), National Capital region (NCR) province (Metropolitan Manila district (Las Pinas, Caloocan, Valenzuela, Navotas, Malabon areas)), Region I (Ilocos region) province (Pagasinan district), Cordillera Administrative region (CAR) province (Mountain Province district (Bontoc, Sagada areas), Benguet district (Tuba area), Abra district)",2013,8,13,2013,8,21,31,30
