education_key,literacy_rate_percent_m_15_24,literacy_rate_percent_15_24,literacy_rate_percent_f_15_plus,literacy_rate_percent_m_15_plus,literacy_percent_15_plus,primary_completion_rate_percent_f,primary_completion_rate_percent_m,primary_completion_rate_percent,primary_enroll_rate_percent_gross,pimary_enroll_rate_percent_gross_f,pimary_enroll_rate_percent_gross_m,primary_enroll_rate_percent_net,primary_enroll_rate_percent_net_f,primary_enroll_rate_percent_net_m,secondary_enroll_rate_percent_gross,secondary_enroll_rate_percent_gross_f,secondary_enroll_rate_percent_gross_m,secondary_enroll_rate_percent_net,secondary_enroll_rate_percent_net_f,secondary_enroll_rate_percent_net_m,tertiary_enroll_rate_percent_gross,spending_education_percent_gdp
3012,91.5412902832031,92.9507598876953,70.0857009887695,75.7023620605469,72.8929672241211,67.78083515167236,61.65665721893313,64.65844249725342,114.988662719727,119.057960510254,111.086807250977,92.55219,93.66587,91.5114,69.6631698608398,75.2174911499023,64.3477401733398,63.74088,68.87605,58.82658,18.151460647583,1.9404133160909
3013,91.8037185668945,93.2964401245117,71.1819381713867,76.6692581176758,73.9122009277344,67.78083515167236,61.65665721893313,64.65844249725342,116.466339111328,120.751747131348,112.357452392578,92.55219,93.66587,91.5114,72.6905975341797,78.2707290649414,67.3534774780273,66.54968,72.27917,61.06971,20.5650691986084,1.9404133160909
3014,93.7046966552734,94.8624267578125,71.9483871459961,77.4414901733398,74.6844635009766,67.78083515167236,61.65665721893313,64.65844249725342,107.23785654703781,110.71991390652123,103.89547899034294,92.55219,93.66587,91.5114,72.5581283569336,78.2772674560547,67.0911026000977,52.81895583333333,55.859675,49.903886666666665,24.0168895721436,1.32632005214691
3015,93.1641693115234,94.4617767333984,72.0047836303711,77.8167114257813,74.9088973999023,67.78083515167236,61.65665721893313,64.65844249725342,119.556449890137,124.987380981445,114.350021362305,92.55219,93.66587,91.5114,74.3600769042969,81.4880523681641,67.5480575561523,52.81895583333333,55.859675,49.903886666666665,22.8303909301758,1.9404133160909
3016,100,100,100,100,100,100,-1,-1,97.3645706176758,96.9387130737305,97.7711868286133,99.61709166666667,-1,-1,101.391189575195,100.234382629395,102.487060546875,94.3504,94.36470000000001,94.33743333333332,65.88021997305063,4.76588010787964
3017,100,100,100,100,100,100,-1,-1,98.8806304931641,98.5098266601563,99.2344436645508,99.61709166666667,-1,-1,101.728248596191,100.669502258301,102.732360839844,94.3504,94.36470000000001,94.33743333333332,65.88021997305063,4.9362350304921465
3018,100,100,100,100,100,100,-1,-1,98.9664764404297,98.7211074829102,99.2001876831055,99.61709166666667,-1,-1,101.90348815918,100.74836730957,103.001899719238,94.3504,94.36470000000001,94.33743333333332,63.6000595092773,4.7664098739624
3019,100,100,100,100,100,100,-1,-1,98.013313293457,97.9208602905273,98.1011810302734,99.61709166666667,-1,-1,102.344436645508,101.104248046875,103.525932312012,94.3504,94.36470000000001,94.33743333333332,63.7673988342285,4.62612009048462
3020,100,100,100,100,100,100,-1,-1,99.0087966918945,99.0851287841797,98.936393737793,99.61709166666667,-1,-1,102.734443664551,101.503608703613,103.908081054688,94.3504,94.36470000000001,94.33743333333332,63.0657691955566,4.84057998657227
3021,100,100,100,100,100,100,-1,-1,98.6416015625,98.9050598144531,98.3922424316406,99.61709166666667,-1,-1,102.398483276367,101.156692504883,103.582977294922,94.3504,94.36470000000001,94.33743333333332,61.6558494567871,5.356369972229
