health_key,death_by_communicable_diseases_maternal_prenatal_and_nutrition_conditions_percent,death_by_non_communicable_diseases_percent,people_using_at_least_basic_drinking_water_services_percent,people_using_safely_managed_drinking_water_services,hospital_beds,community_health_workers,nurses_and_midwives,physicians,specialist_surgical_workforce,incidence_of_malaria,intermittent_preventive_treatment_of_malaria_in_pregnancy,use_of_insecticide_treated_bed_nets,children_with_fever_receiving_antimalarial_drugs,malaria_cases_reported,people_practicing_open_defecation_rural,people_practicing_open_defecation_urban,people_practicing_open_defecation,people_using_safely_managed_sanitation_services,mortality_rate_attributed_to_unsafe_water_unsafe_sanitation_and_lack_of_hygiene,current_health_expenditure,current_health_expenditure_per_capita,domestic_general_government_health_expenditure,domestic_general_government_health_expenditure_per_capita,external_health_expenditure_per_capita
1071,4.13330095250485,13.654204310350769,86.09794725,0.0,0.83,0.0,0.44745,0.2007,0.0,9.68093542715507,0.0,0.23125,0.8,417819,25.01212529,7.078498466,15.81647892,0.0,0.44375,2.91427088,107.66363525,26.32730865,26.32730865,0.96095133
1072,4.13330095250485,13.654204310350769,86.91591354,0.0,0.99,0.0,0.44745,0.3121,0.0,8.13022158857219,0.0,0.23125,0.1125,343527,23.27989718,6.473970302,14.54837767,0.0,0.44375,2.86934805,103.98308563,28.46877289,28.46877289,1.1440419
1073,4.13330095250485,13.654204310350769,87.72586319,0.0,0.94,0.0,0.44745,0.1601125,0.0,6.10177454558157,0.0,0.23125,0.1125,252027,21.54766908,5.869442138,13.29543384,0.0,0.44375,2.96433592,103.5038681,33.48168182,33.48168182,2.03739619
1074,21.8838899263593,73.0713752539611,88.52735296,0.0,0.98,0,1.299,0.2738,0.0,5.3844046094674,0.0,0.23125,0.1125,217025,19.81544098,5.264913974,12.05811867,0.0,0.44375,2.92428517,97.4282608,39.59934235,39.59934235,0.4901185
1075,4.13330095250485,13.654204310350769,89.32043532,0.0,0.99,0.0,0.44745,0.1601125,0.0,5.53611793672665,0.0,0.23125,0.1125,217343,18.08321288,4.660385809,10.83636264,0.0,7.1,3.02147222,107.64949036,45.52692032,45.52692032,0.52739972
1076,4.13330095250485,13.654204310350769,90.10462418,0.0,1.04,0.0,2.0532,0.3767,0.0,6.77378967012208,0.0,0.23125,0.2,258519,16.35098478,4.055857645,9.630591727,0.0,0.44375,2.90417194,111.44986725,46.47950745,46.47950745,0.68619859
1077,4.13330095250485,13.654204310350769,90.88029952,0.0,0.471875,0.0,0.44745,0.4269,0.0,3.86619298935274,0.0,0.23125,0.1125,190562,14.61875668,3.451329481,8.440377536,0.0,0.44375,2.86757827,111.6594696,48.67710495,48.67710495,0.40497854
1078,18.9256595520418,76.3264256879934,91.64729028,0.0,0.471875,0.0,3.807,0.4651,0.0,6.6701285264650085,0.0,0.23125,0.1125,288455.8125,12.88652858,2.846801316,7.265787359,0.0,0.44375,2.90493584,120.12496185,48.93664932,48.93664932,0.55616319
1079,4.13330095250485,13.654204310350769,92.41534961,0.0,0.471875,0.0,0.44745,0.1601125,0.0,6.6701285264650085,0.0,0.23125,0.1125,288455.8125,11.15430047,2.242273152,6.106439105,0.0,0.44375,2.6435986918750003,82.54659080375,33.23355615124999,33.23355615124999,1.002728865625
1080,1.9192624642809502,14.767957962458649,93.09668937,40.35948897,1.05,0.0,2.2053,3.5303,0.0,1.31999604935459,0.0,0.0,0.0,2967,19.94258519,2.863955603,6.910224385,23.87717464,0.06875,5.83612156,483.09536743,42.23654556,42.23654556,0.0
1081,1.9192624642809502,14.767957962458649,93.71099729,40.5640574,1.02,0.0,2.2215,3.762,0.0,1.10229073904779,0.0,0.0,0.0,2514,18.64645146,2.679589832,6.413280454,25.87350566,0.06875,5.65525532,512.83319092,42.82709122,42.82709122,0.0
1082,1.9192624642809502,14.767957962458649,94.32032157,40.76641554,1.06,0.0,2.2832,3.843,0.0,1.01993605635957,0.0,0.0,0.0,2361,17.35031773,2.495224062,5.923779375,27.90436423,0.06875,5.76644516,556.0402832,43.81832123,43.81832123,0.0
1083,1.9192624642809502,14.767957962458649,94.90809059,40.96669575,1.03,0.0,2.3066,3.8988,0.0,1.00309525319324,0.0,0.0,0.0,2357,16.054184,2.310858291,5.441312933,29.96951033,0.06875,5.69886971,570.83050537,45.91358185,45.91358185,0.0
1084,1.9192624642809502,14.767957962458649,95.36710258,41.16482643,1.02,0.0,2.3624,3.9581,0.0,1.13348351395824,0.0,0.0,0.0,2703,14.75805027,2.12649252,4.966066408,32.0685671,0.06875,6.12978458,490.56585693,46.66846848,46.66846848,0.0
1085,11.5781091734769,76.0637841319078,95.82133427,41.36089371,1.05,0.0,2.4118,3.9972,0.0,0.506773444575478,0.0,0.0,0.0,1226,13.46191653,1.942126749,4.497791888,34.20129298,0.06875,5.73688889,531.88946533,50.21875,50.21875,0.0
1086,1.9192624642809502,14.767957962458649,96.27120298,41.55507773,1.04,0.0,2.5093,4.2008,0.0,0.458175954241103,0.0,0.0,0.0,1124,12.1657828,1.757760978,4.035972895,36.3676703,0.06875,5.51883602,563.10894775,52.80387878,52.80387878,0.0
1087,1.9192624642809502,14.767957962458649,96.71644433,41.74726437,1.03,0.0,2.5488,4.2236,0.0,0.334984664297511,0.0,0.0,0.0,833,10.86964907,1.573395207,3.58092129,38.56730401,0.06875,5.66522121,580.21838379,53.08211899,53.08211899,0.0
1088,1.9192624642809502,14.767957962458649,97.15725463,41.93753836,1.03,0.0,2.8044,4.311,0.0,0.196458897821926,0.0,0.0,0.0,495,9.573515339,1.389029436,3.132406947,40.80011597,0.06875,5.80923605,623.05157471,53.75115967,53.75115967,0.0
1089,1.9192624642809502,14.767957962458649,97.5936259,42.12589627,1.03,0.0,2.6798,4.4526,0.0,0.257052284277883,0.0,0.0,0.0,656,8.277381608,1.204663665,2.69042959,43.06591674,0.06875,5.55341005,606.92980957,52.08169937,52.08169937,0.0
1090,10.0366534189482,79.8132340601764,98.02544354,42.31228861,1,0.0,2.4177,4.6493,0.0,0.200086536459482,0.0,0.0,0.0,517,6.981247876,1.020297894,2.255108509,45.36435171,0.06875,5.72277403,550.34002686,52.20096588,52.20096588,0.0
1091,1.9192624642809502,14.767957962458649,98.45286453,42.49678317,1,0.0,2.5103,4.6488,0.0,0.210694565533275,0.0,0.0,0.0,551,5.685114145,0.835932124,1.826280678,47.69541008,1.1,5.55345869,485.62417603,51.27971649,51.27971649,0.0
1092,1.9192624642809502,14.767957962458649,98.87578129,42.67933349,0.99,0.0,2.5078,4.7654,0.0,0.278231521136334,0.0,0.0,0.0,736,4.388980413,0.651566353,1.404019929,50.0587208,0.06875,5.45759058,506.89233398,50.53536987,50.53536987,0.0
1093,1.9192624642809502,14.767957962458649,99.26913243,42.84912192,0.98,0.0,3.149,4.8496,0.0,0.300159536849723,0.0,0.0,0.0,803,3.092846682,0.467200582,0.988233853,52.45421467,0.06875,5.37870932,521.00830078,49.67456055,49.67456055,0.0
1094,9.0934368360701,80.4103092072542,99.47726394,42.93896105,0.8956249999999999,0.0,2.3646,3.6931562500000004,0.0,0.520088688569134,0.0,0.0,0.0,1240.1875,1.79671295,0,0.351365143,54.88172246,0.06875,5.43305254,540.37231445,49.307724,49.307724,0.0
1095,1.9192624642809502,14.767957962458649,99.67956828,43.02628491,0.8956249999999999,0.0,2.3301562500000004,3.6931562500000004,0.0,0.520088688569134,0.0,0.0,0.0,1240.1875,0.500579219,0,0.096456614,57.34110284,0.06875,5.307228356875,507.67503356875,46.02499699625,46.02499699625,0.0
1096,4.889447665673269,12.560915471104613,87.91628549,44.23162226,0.58625,0.0,4.2752,1.2289,0.5975,3.02704159149761,0.0,0.0,0.025,46342,13.72648264,4.593867353,9.551964023,44.9191181,0.2625,3.74253011,46.57011795,33.09892654,33.09892654,4.21309376
1097,4.889447665673269,12.560915471104613,88.31165428,44.67729299,1.07,0.0,4.4048,1.2361,0.5975,2.32968078722004,0.0,0.0,0.025,35405,13.17332735,4.418533691,9.178952697,45.2703069,0.2625,3.77762771,54.86775589,32.09132385,32.09132385,3.82878137
