qol_key,unemployment_female,unemployment_male,unemployment_total,people_basic_handwashing_facilities,people_basic_handwashing_facilities_rural,people_basic_handwashing_facilities_urban,people_using_at_least_basic_sanitation_services,people_using_at_least_basic_sanitation_services_rural,people_using_at_least_basic_sanitation_services_urban,people_using_at_least_basic_drinking_water_services,people_using_at_least_basic_drinking_water_services_rural,people_using_at_least_basic_drinking_water_services_urban
5021,5.85099983215332,6.7810001373291,6.34000015258789,100,100,100,99.14388406,98.91645221,,99.22553764,98.93834549,99.29137826
5022,5.48899984359741,6.13899993896484,5.82999992370605,100,100,100,99.08828896,98.88400966,,99.22363119,98.99942069,99.27482796
5023,5.25,6.03000020980835,5.65999984741211,100,100,100,99.03268117,98.85156711,,99.22164984,99.0604959,99.25827766
5024,9.38599967956543,9.52600002288818,9.46000003814697,100,100,100,99.03286158,98.85156711,,99.22181066,99.0604959,99.25827766
5025,6.46600008010864,7.01700019836426,6.76000022888184,100,100,100,99.80519484,99.3057628,,99.23464422,98.20544302,99.48998183
5026,7.00899982452393,7.95900011062622,7.51000022888184,100,100,100,99.47721571,99.11110751,,99.23589396,98.57189426,99.39068004
5027,7.24300003051758,8.79399967193604,8.0600004196167,100,100,100,99.53213067,99.14355006,,99.23634886,98.51081905,99.40723034
5028,7.00500011444092,9.53299999237061,8.34000015258789,100,100,100,99.5868457,99.17599261,,99.23635504,98.44974385,99.42378064
5029,5.65199995040894,6.57200002670288,6.1399998664856,100,100,100,99.6414571,99.20843516,,99.23607708,98.38866864,99.44033093
5030,5.65299987792969,6.38399982452393,6.03999996185303,100,100,100,99.69595411,99.24087771,,99.23549716,98.32759343,99.45688123
5031,6.09200000762939,6.52199983596802,6.32000017166138,100,100,100,99.75033789,99.27332025,,99.23461957,98.26651823,99.47343153
5032,0.63400000333786,1.27400004863739,1.00600004196167,18.23340101,12.53731827,38.2625562,10.57634299,4.802384585,,43.37833546,34.39101706,74.98047258
5033,0.656000018119812,1.2960000038147,1.02900004386902,19.12193481,13.77790487,37.79817928,10.70797494,4.636818324,,43.71380254,34.78615286,74.91403535
5034,0.675000011920929,1.30900001525879,1.0460000038147,20.0108734,15.01849146,37.33380237,10.85331183,4.474014014,,44.05402607,35.18211409,74.83842841
5035,0.698000013828278,1.33299994468689,1.07099997997284,20.89949828,16.25907806,36.86942545,11.01336536,4.313971653,,44.39909697,35.57890074,74.75365178
5036,0.726000010967255,1.36800003051758,1.10399997234344,21.78683825,17.49966465,36.40504854,11.18890461,4.156691241,,44.74869976,35.9765128,74.65970544
5037,0.744000017642975,1.37800002098083,1.11899995803833,22.67192343,18.74025125,35.94067162,11.38071688,4.002172779,,45.10250956,36.37495028,74.55658941
5038,0.759999990463257,1.38399994373322,1.12999999523163,23.55393562,19.98083784,35.47629471,11.58993917,3.850416266,,45.46056009,36.77421319,74.44430367
5039,0.768999993801117,1.36800003051758,1.12300002574921,24.43171321,21.22142444,35.01191779,11.81708026,3.701421703,,45.82211121,37.17430151,74.32284823
5040,1.29299998283386,2.0460000038147,1.74199998378754,25.30452727,22.46201104,34.54754088,12.06370114,3.55518909,,46.18753479,37.57521525,74.19222309
5041,0.495000004768372,1.15900003910065,0.871999979019165,14.6701275,7.574971888,40.12006386,10.0540648,5.814242179,,41.14046577,31.64817814,75.18878159
5042,0.620000004768372,1.27600002288818,1,17.34618878,11.29673167,38.72693311,10.45771327,4.970712794,,43.04789724,33.99670667,75.03774011
5043,0.592000007629395,1.23599994182587,0.96399998664856,16.46151145,10.05614508,39.19131003,10.35163901,5.141802954,,42.72317538,33.6032217,75.08583795
5044,0.578000009059906,1.2389999628067,0.958999991416931,15.5800317,8.815558483,39.65568694,10.25719015,5.315655062,,42.40402243,33.21056215,75.12476608
5045,0.560000002384186,1.22699999809265,0.941999971866608,14.70267215,7.574971888,40.12006386,10.1737152,5.492269121,,42.09069088,32.81872802,75.1545245
5046,0.541000008583069,1.21200001239777,0.925000011920929,14.69193207,7.574971888,40.12006386,10.13347221,5.599593473,,41.7757177,32.4277193,75.17511323
5047,0.523000001907349,1.20299994945526,0.910000026226044,14.68086719,7.574971888,40.12006386,10.09345288,5.706917826,,41.45868775,32.03753601,75.18653226
5048,4.42199993133545,5.27500009536743,4.81799983978271,20.265388054285715,13.077006460000003,33.14467264,20.18082996,12.76935228,,63.19359942,52.22640915,84.24272416
5049,4.52899980545044,5.25500011444092,4.86600017547607,20.265388054285715,13.077006460000003,33.14467264,21.29747033,13.68408203,,63.35559582,52.17093554,84.54800818
5050,4.62099981307983,5.21500015258789,4.89599990844727,20.06777855,13.07700646,33.14467264,22.43519884,14.61525504,,63.49465264,52.07851761,84.84960269
5051,4.71000003814697,5.17000007629395,4.9229998588562,20.12898537,13.07700646,33.14467264,23.59705342,15.56287131,,63.61538954,51.94915534,85.14750769
