population_key,birth_rate,population_ages_0-14_female,population_ages_0-14_male,population_ages_15-64_female,population_ages_15-64_male,population_ages_65_and_above_female,population_ages_65_and_above_male,population_total,population_growth,mortality_rate_infant,life_expectancy_at_birth_female,life_expectancy_at_birth_male
6028,10.3,15.3661988833804,16.3817881658405,66.5006780035449,68.0864703469766,16.8424915594931,18.1331231130747,36545295,1.19968215419992,4.6,84,79.9
6029,10.1,15.3758687905652,16.3722009005922,66.1036833685027,67.7038662370697,17.2320066788651,18.5204478409321,37065178,1.412548033188,4.5,84.2,80
6030,9.9,15.3582066587081,16.3409259592649,65.7060193659637,67.3184120397739,17.6478968899213,18.9357739753283,37593384,1.41501469953534,4.4,84.2,80
6031,10.773333333333333,15.2919790179674,16.2657006569124,65.3154798329867,66.9372349547394,18.1043615051754,19.392541149046,38005238,1.08959148655862,4.4,83.57333333333332,79.26
6032,49.325,48.7455020933306,49.5481264419171,48.3142400576174,48.0010915242703,2.69631470213882,2.94025784905197,10096630,3.64986168707305,92.4,49.731,47.376
6033,48.848,48.8103550116476,49.5768070786681,48.2809777682531,47.987214808107,2.67313460182742,2.90866722009929,10457122,3.50815725715737,90.8,50.096,47.725
6034,48.327,48.7993810535583,49.5369001223549,48.3243319172187,48.0448346466533,2.64788652715135,2.87628702922299,10818031,3.39310016650649,89.2,50.54,48.138
6035,47.772,48.7241114795277,49.4346130838386,48.4335219053316,48.168060319414,2.62044703363536,2.84236661514066,11183589,3.32331568496484,87.5,51.049,48.599
6036,47.194,48.6016634352293,49.2813554818336,48.5930520213957,48.3465027446849,2.58925773175722,2.80528454337504,11560142,3.31157110166538,85.8,51.608,49.095
6037,46.603,48.4459640271568,49.0892573885509,48.7890053171483,48.5679632291287,2.55443043820787,2.76503065569482,11952134,3.33466929345193,84.1,52.188,49.604
6038,46.01,48.3591174732312,48.9884367988882,48.9054137411269,48.685317304909,2.53131019440999,2.73546878564184,12360986,3.3635382470264,82.3,52.759,50.105
6039,45.42,48.2223398160853,48.8293048636063,49.0761961403197,48.865755336898,2.50363127945404,2.70146404359506,12784748,3.37076756399417,80.6,53.294,50.579
6040,44.841,48.0437000806605,48.6242134312619,49.2869706362909,49.093092384723,2.47640149153965,2.66932928304857,13220433,3.35106893405564,78.9,53.777,51.014
6041,44.276,47.8254035612578,48.3821742820823,49.5276757457146,49.3540210858195,2.45575715739215,2.64692069302758,13663562,3.29689942062191,77.3,54.196,51.403
6042,43.73,47.5677360937255,48.1066737255341,49.7944969167111,49.6424886256709,2.4447070454026,2.63776698956337,14110971,3.22199984419079,75.7,54.552,51.743
6043,43.201,47.3680783250437,47.9102161963938,49.9808689460427,49.8338501507107,2.4538548489664,2.65105272891358,14561658,3.14393299725849,74.1,54.856,52.041
6044,42.683,47.1271077851747,47.6749108706161,50.202346313189,50.0628618827771,2.46671833784574,2.67054590163629,15016761,3.07750673636919,72.4,55.132,52.315
6045,42.172,46.8496662282424,47.4038611014141,50.4580879989226,50.3280663829133,2.48051894434901,2.692245772835,15477727,3.02350454795029,70.7,55.4,52.577
6046,41.665,46.5422295012997,47.1005167751562,50.7468734191797,50.6277854643201,2.4916416230991,2.71089707952058,15946882,2.98613014725798,69,55.669,52.835
6047,45.471133333333334,46.2113508059933,46.7700669620264,51.0644153942606,50.9576630728387,2.49857785258663,2.72423379974614,16425859,2.95935371013085,67.4,52.98979999999999,50.34326666666667
6048,41.956,44.4004701470867,49.4553711973776,52.0281492385497,47.7672072471973,3.19280326943687,3.57138061436357,9109585,2.03891508960548,83.9,53.643,52.694
6049,41.501,44.3424425980406,49.3819210730588,52.0898926602402,47.8636687783931,3.17991281154562,3.56766474171916,9307421,2.14848830516983,81.5,54.597,53.346
6050,41.048,44.2506447499847,49.2750281446694,52.1908251193952,48.0006428028674,3.16084134731054,3.55853013062008,9518159,2.23894087995142,79.4,55.513,54.038
6051,40.598,44.1318492915557,49.1338946771454,52.3259098550548,48.1814072207621,3.13341736839641,3.54224085338941,9738796,2.29160483010145,77.6,56.317,54.725
6052,40.153,43.9888146157732,48.961018039541,52.4949983080045,48.4078391403184,3.09424415892106,3.51618707622224,9964470,2.2908270048225,75.9,56.98,55.386
6053,39.713,43.8214126283372,48.7587952161845,52.6982848501313,48.6784817838556,3.04295177006362,3.48030252153148,10192168,2.25938161116451,74.4,57.514,56.016
6054,39.278,43.6835996212756,48.5203630926868,52.8514130343653,48.9553136815755,3.01618775042052,3.4649873443591,10420459,2.21515030486438,73.1,57.963,56.622
6055,38.848,43.5169251461495,48.2520129358263,53.0446407968704,49.2746270248131,2.97747913050572,3.43843405698011,10652032,2.197958681877,71.8,58.402,57.222
6056,38.422,43.3256966268557,47.9575356075498,53.2641120606419,49.6247279568398,2.93572360574863,3.41019131250239,10892821,2.23532763160631,70.5,58.883,57.824
6057,38,43.1219460049551,47.6492781247785,53.4864868023417,49.9834407341437,2.90146643587085,3.39156719270314,11150970,2.34225412440163,69.5,59.417,58.423
6058,37.583,42.9157305332368,47.3382492829182,53.6960092178647,50.3353078958635,2.8797276577997,3.38826024889846,11432096,2.4898348435131,68.4,59.993,59.003
6059,37.171,42.6305552967293,46.8260897434873,53.9519934654597,50.8555069447515,2.88992675254926,3.41745123781099,11738434,2.64435773103833,67.1,60.585,59.546
6060,36.765,42.3342605581542,46.3137502572608,54.2115157811749,51.3700925242515,2.90681953763653,3.45422366067083,12067516,2.764879904347,66,61.153,60.04
6061,36.364,42.0306832157562,45.8058828289529,54.4754232092649,51.8784437829498,2.92602244847935,3.49389357497889,12414292,2.8331175118102,64.7,61.666,60.477
6062,35.965,41.7201462308849,45.3024330712812,54.7498164695509,52.3855288818252,2.94190559010452,3.53003729956424,12771246,2.83478481749442,63.4,62.117,60.855
6063,38.891,41.4043363888914,44.8039376481332,55.0353725124853,52.8925583411535,2.95231898464874,3.56029109862324,13132792,2.79160707922075,62,58.31620000000001,57.08113333333334
6064,21.765,29.376880666501,30.3816742578004,65.2759533319235,65.3596539000453,4.80076514386639,5.3471660015755,226289468,1.33630464499704,33.6,69.107,65.579
6065,21.624,29.0045934485132,30.0328541672388,65.5693187076707,65.6515807995197,4.86822283695836,5.42608784381613,229318262,1.32958175171436,32.4,69.565,65.899
6066,21.448,28.71414520029,29.7700337675852,65.7999977184806,65.8720458690908,4.91885191493575,5.48585708122941,232374239,1.32383420748243,31.2,70.025,66.228
6067,21.251,28.4986046973471,29.58391397949,65.9778980955064,66.0278269767586,4.95243376514731,5.52349720714651,235469755,1.32333051767653,30,70.474,66.554
6068,21.034,28.3506064205981,29.467535524017,66.1106220435977,66.1287881661203,4.96738204410321,5.53877153580422,238620554,1.32921737939261,29,70.905,66.872
6069,20.795,28.2504581288668,29.397178250082,66.2146389078296,66.2042059339682,4.96251409255717,5.53490296330367,241834226,1.3377824768766,27.9,71.311,67.182
6070,20.526,27.9496546852247,29.0902175299515,66.4198480802627,66.4433260734523,5.04413202554593,5.63049723451263,245115988,1.34790440280692,26.9,71.69,67.485
6071,20.225,27.7080589236095,28.8330851142031,66.5683485938454,66.6464202595252,5.11756686476095,5.72359248254508,248451714,1.35169978721169,25.9,72.047,67.784
6072,19.893,27.4835571686609,28.5840285171256,66.6974342002632,66.8416017724493,5.19208238927228,5.81900863107589,251805314,1.34077086414715,25,72.383,68.081
6073,19.537,27.2294479447038,28.2984014433501,66.8488980274013,67.0567121703543,5.2785821188884,5.92165402789482,255128076,1.31094524538172,24.1,72.698,68.371
6074,19.165,26.9300976530953,27.9643120373872,67.0347094003555,67.2945796419324,5.38343514023989,6.03519294654914,258383257,1.26782970253157,23.2,72.992,68.651
6075,18.79,26.7300284740258,27.7281570215027,67.1085382935496,67.3754986909287,5.52433626155731,6.16143323242464,261556386,1.22059105826764,22.4,73.264,68.914
6076,18.422,26.4283971715456,27.3945034810032,67.2709737506417,67.5334467758481,5.68194834038824,6.30062907781272,264650969,1.17619742367279,21.6,73.515,69.156
6077,18.072,26.0798659250084,27.0158765847801,67.4619872667228,67.7194516086933,5.85716561272863,6.45814680826873,267670549,1.13450697951891,20.8,73.748,69.375
6078,17.746,25.7596631142237,26.6641878090621,67.6000097829788,67.8672585328744,6.05030268241321,6.64032710279748,270625567,1.09792643725552,20.2,73.967,69.572
6079,20.01953333333333,25.4976040780597,26.3683226970828,67.6507277747277,67.9501397425857,6.26251338481323,6.85166814721261,273523621,1.06517898587775,19.5,71.84606666666667,67.71353333333334
6080,21.741,30.6794103686226,33.0470871424722,63.2406981847999,61.8033230300446,5.62497295533692,6.07989144657751,106005199,1.4158169793862,19.5,77.999,72.575
6081,21.343,30.2528304573587,32.6451510684972,63.5825534585351,62.1149055273648,5.71235520648618,6.16461608410616,107560155,1.4562132376675,18.8,78.035,72.532
6082,20.973,29.7836459808422,32.1672571929773,63.9541654661617,62.4915717487547,5.81166055277459,6.26218855299607,109170503,1.48606353186843,18.2,78.039,72.447
6083,20.635,29.2932173808232,31.6515429678329,64.3368136761312,62.899639494316,5.91934030464087,6.36996894304562,110815272,1.49536909755127,17.6,78.026,72.342
6084,20.327,28.8160021583849,31.1514608030561,64.7002292761735,63.2919178854376,6.03016593228722,6.48376856544156,112463886,1.47675580253545,17,78.004,72.233
6085,20.042,28.3712440710831,30.6938295752371,65.0255185693997,63.6431653158691,6.14318167896122,6.60323735951718,114092961,1.43814066910139,16.4,77.979,72.135
6086,19.766,27.9413934024759,30.2624241504383,65.3523055292042,63.9757666497366,6.24420542366424,6.70630106831996,115695468,1.39478996981758,15.9,77.952,72.056
6087,19.488,27.5617911881821,29.8880543140811,65.627581853349,64.2564022819287,6.3433942457313,6.81062695846891,117274156,1.35529442643505,15.4,77.922,71.997
6088,19.198,27.2118058527731,29.5487834842769,65.8625978247927,64.4983904245703,6.44976025304518,6.92559632243423,118827158,1.31555760676608,14.9,77.89,71.958
6089,18.892,26.8577395408258,29.206247421804,66.079134800575,64.7290490796097,6.57479338977563,7.06312565859923,120355137,1.27768636604222,14.4,77.86,71.943
6090,18.573,26.4831729626456,28.8404179663813,66.2871305574578,64.9624709101164,6.7247161862432,7.2296964798966,121858251,1.24116450246976,13.9,77.837,71.954
6091,18.245,26.1566104425369,28.5044461063392,66.4532382959668,65.1621405420135,6.8733203249054,7.39015126149632,123333379,1.20325950587092,13.5,77.826,71.99
6092,17.918,25.7967274641313,28.1325863481428,66.6295263505429,65.3833395414953,7.04077048486791,7.57374618532579,124777326,1.16396694963579,13,77.827,72.046
6093,17.602,25.421764240814,27.7423327775349,66.8011365230658,65.6119712215744,7.22368498087198,7.77709923612024,126190782,1.12641479134149,12.6,77.844,72.118
6094,17.297,25.0591633209628,27.3609577607423,66.9461869409958,65.8259832121628,7.41666060424488,7.99464973804142,127575529,1.09136688717461,12.2,77.879,72.203
